Puzzle number,Algorithm,Heuristic,Lenghth of the Solution,Lenghth of the Search Path,Execution Time (in seconds)
18,GBFS,h3,4,10,0.2320317
18,A/A*,h3,4,22,0.4443353
18,GBFS,h4,4,10,0.1888132
18,A/A*,h4,4,54,1.1840023
19,UCS,N/A,2,24,0.6558736
19,GBFS,h1,2,5,0.0945722
19,A/A*,h1,2,7,0.1372359
19,GBFS,h2,2,5,0.0951754
19,A/A*,h2,2,7,0.2602725
19,GBFS,h3,2,5,0.212151
19,A/A*,h3,2,5,0.1300993
19,GBFS,h4,2,5,0.0980874
19,A/A*,h4,2,7,0.1545809
20,UCS,N/A,1,6,0.1101138
20,GBFS,h1,1,3,0.0385751
20,A/A*,h1,1,3,0.0399724
20,GBFS,h2,1,3,0.0395455
20,A/A*,h2,1,3,0.0373224
20,GBFS,h3,1,3,0.0448117
20,A/A*,h3,1,3,0.0420884
20,GBFS,h4,1,3,0.0372059
20,A/A*,h4,1,3,0.0392555
21,UCS,N/A,2,23,0.3342263
21,GBFS,h1,2,5,0.0646587
21,A/A*,h1,2,5,0.0526261
21,GBFS,h2,2,5,0.0614204
21,A/A*,h2,2,5,0.0756213
21,GBFS,h3,2,5,0.05927
21,A/A*,h3,2,5,0.0613086
21,GBFS,h4,2,5,0.0603776
21,A/A*,h4,2,5,0.0532597
22,UCS,N/A,4,117,2.5632973
22,GBFS,h1,7,37,0.5245027
22,A/A*,h1,4,21,0.3207466
22,GBFS,h2,7,37,0.6473235
22,A/A*,h2,4,21,0.3572169
22,GBFS,h3,7,37,0.5503743
22,A/A*,h3,4,14,0.2072026
22,GBFS,h4,5,28,0.4148623
22,A/A*,h4,4,28,0.508344
23,UCS,N/A,2,36,0.5930022
23,GBFS,h1,3,5,0.0602548
23,A/A*,h1,2,14,0.2202755
23,GBFS,h2,3,5,0.0590831
23,A/A*,h2,2,14,0.5115209
23,GBFS,h3,3,5,0.0967138
23,A/A*,h3,2,5,0.088903
23,GBFS,h4,3,5,0.0647991
23,A/A*,h4,2,14,0.2730503
24,UCS,N/A,4,143,3.6502361
24,GBFS,h1,4,8,0.1192146
24,A/A*,h1,4,41,0.8393554
24,GBFS,h2,4,8,0.1318357
24,A/A*,h2,4,41,0.8224974
24,GBFS,h3,4,8,0.1169353
24,A/A*,h3,4,8,0.1282996
24,GBFS,h4,5,18,0.3984428
24,A/A*,h4,4,21,0.4683749
25,UCS,N/A,3,25,0.4594683
25,GBFS,h1,,,
25,A/A*,h1,,,
25,GBFS,h2,,,
25,A/A*,h2,,,
25,GBFS,h3,,,
25,A/A*,h3,,,
25,GBFS,h4,,,
25,A/A*,h4,,,
26,UCS,N/A,3,10,0.0731293
26,GBFS,h1,,,
26,A/A*,h1,,,
26,GBFS,h2,,,
26,A/A*,h2,,,
26,GBFS,h3,,,
26,A/A*,h3,,,
26,GBFS,h4,,,
26,A/A*,h4,,,
27,UCS,N/A,3,73,1.38658
27,GBFS,h1,,,
27,A/A*,h1,,,
27,GBFS,h2,,,
27,A/A*,h2,,,
27,GBFS,h3,,,
27,A/A*,h3,,,
27,GBFS,h4,,,
27,A/A*,h4,,,
28,UCS,N/A,,,
28,GBFS,h1,,,
28,A/A*,h1,,,
28,GBFS,h2,,,
28,A/A*,h2,,,
28,GBFS,h3,,,
28,A/A*,h3,,,
28,GBFS,h4,,,
28,A/A*,h4,,,
29,UCS,N/A,,,
29,GBFS,h1,,,
29,A/A*,h1,,,
29,GBFS,h2,,,
29,A/A*,h2,,,
29,GBFS,h3,,,
29,A/A*,h3,,,
29,GBFS,h4,,,
29,A/A*,h4,,,
30,UCS,N/A,,,
30,GBFS,h1,,,
30,A/A*,h1,,,
30,GBFS,h2,,,
30,A/A*,h2,,,
30,GBFS,h3,,,
30,A/A*,h3,,,
30,GBFS,h4,,,
30,A/A*,h4,,,
31,UCS,N/A,,,
31,GBFS,h1,,,
31,A/A*,h1,,,
31,GBFS,h2,,,
31,A/A*,h2,,,
31,GBFS,h3,,,
31,A/A*,h3,,,
31,GBFS,h4,,,
