0 4 0  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 4 0  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
0 4 0  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 4 0  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 4 0  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 4 0  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 4 0  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 4 0  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
0 4 0  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 4 0  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 4 0  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 4 0  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 4 0  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
0 4 0  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 4 0  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 4 0  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 4 0  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 5 0  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 5 0  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 5 0  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
0 5 0  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 0  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 5 0  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 5 0  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 0  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 0  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
0 5 0  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 5 0  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 5 0  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 5 0  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 5 0  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
