0 3 0  .HHD..CC.D.M.AA..MJK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.MJAAL.MJK.LEE.K..GG.BB.II
0 3 0  .HH...CC...MAA.D.MJK.DEEJK.LGG.BBLII
0 3 0  .HHD..CC.D.MAA...MJK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.MAA...M.K.LEEJK.LGGJBB.II
0 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
0 3 0  .HHD.MCC.D.M.AAL..JK.LEEJK..GG.BB.II
0 3 0  .HHD.MCC.D.M.AAL..JK.LEEJK.GG..BB.II
0 3 0  .HHD..CC.D.MAA...MJKEE..JK.LGG.BBLII
0 3 0  .HHD.MCC.D.MAA.L...K.LEEJK..GGJBB.II
0 3 0  .HHD.MCC.D.MAA....JK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.M...AAMJK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.MAA...M.K..EEJK.LGGJBBLII
0 3 0  .HHD.MCC.D.M.AAL..JK.LEEJK..GG.BB.II
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK..GGJBB.II
0 3 0  .HHD..CC.D.M..AA.MJK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.M.AA..MJK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.MJAAL.MJK.LEE.K..GG.BB.II
0 3 0  .HH...CC.D.MAA.D.MJK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK.GG.JBB.II
0 3 0  .HHD.MCC.D.M.AAL..JK.LEEJK..GG.BB.II
0 3 0  .HHD..CC.D.M.AA..MJK..EEJK.LGG.BBLII
0 3 0  .HHD.MCC.D.MAA.L...K.LEEJK.GG.JBB.II
0 3 0  .HHD..CC.D.M.AA..MJK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.M.AAL.MJK.LEEJK..GG.BB.II
0 3 0  .HHD..CC.D.MJAAL.MJK.LEE.K.GG..BB.II
0 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
0 3 0  .HHD.MCC.D.M.AAL..JK.LEEJK.GG..BB.II
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK.GG.JBB.II
0 3 0  .HHD..CC.D.M...AAMJK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK.GG.JBB.II
0 3 0  .HHD..CC.D.M..AA.MJK.LEEJK.LGG.BB.II
0 3 0  .HH...CC.D.MAA.D.MJK.LEEJK.LGG.BB.II
0 4 0  .HHD.MCC.D.MAA.....K..EEJK.LGGJBBLII
0 4 0  .HHD.MCC.D.M.AAL...K.LEEJK..GGJBB.II
0 4 0  .HHD..CC.D.M.AAL.M.K.LEEJK..GGJBB.II
0 4 0  .HHD.MCC.D.M.AAL...K.LEEJK..GGJBB.II
0 4 0  .HHD.MCC.D.M.AAL..JK.LEEJK..GG.BB.II
0 4 0  .HHD.MCC.D.MJAAL..JK.LEE.K.GG..BB.II
0 4 0  .HHD.MCC.D.MJAAL..JK.LEE.K..GG.BB.II
0 4 0  .HHD..CC.D.M..AA.M.K.LEEJK.LGGJBB.II
0 4 0  .HH...CC.D.MAA.D.M.K.LEEJK.LGGJBB.II
0 4 0  .HH...CC...MAA.D.M.K.DEEJK.LGGJBBLII
0 4 0  .HHD..CC.D.M...AAM.K.LEEJK.LGGJBB.II
0 4 0  .HHD..CC.D.MAA...M.KEE..JK.LGGJBBLII
0 4 0  .HHD..CC.D.M...AAM.K..EEJK.LGGJBBLII
0 4 0  .HHD..CC.D.MJAA..MJK..EE.K.LGG.BBLII
0 4 0  .HHD..CC.D.M..AA.M.K.LEEJK.LGGJBB.II
0 4 0  .HHD..CC.D.M..AA.M.K..EEJK.LGGJBBLII
0 4 0  .HH...CC.D.MAA.D.M.K..EEJK.LGGJBBLII
0 4 0  .HH...CC.D.MAA.D.M.K.LEEJK.LGGJBB.II
0 4 0  .HHD..CC.D.M.AA..M.K..EEJK.LGGJBBLII
0 4 0  .HHD.MCC.D.MAA.....K..EEJK.LGGJBBLII
0 4 0  .HHD.MCC.D.MAA.L...K.LEEJK..GGJBB.II
0 4 0  .HHD..CC.D.M.AA..M.K..EEJK.LGGJBBLII
0 4 0  .HHD..CC.D.M.AA..M.K.LEEJK.LGGJBB.II
0 4 0  .HHD..CC.D.M...AAMJK.EE.JK.LGG.BBLII
0 4 0  .HHD..CC.D.M...AAMJK.LEEJK.LGG.BB.II
0 4 0  .HHD.MCC.D.MAA.....K.LEEJK.LGGJBB.II
0 4 0  .HHD..CC.D.M...AAMJKEE..JK.LGG.BBLII
0 4 0  .HHD..CC.D.M..AA.MJK..EEJK.LGG.BBLII
0 4 0  .HHD..CC.D.M.AA..MJK..EEJK.LGG.BBLII
0 4 0  .HHD.MCC.D.M....AAJK.LEEJK.LGG.BB.II
