0 0 0  BBI.EE..I.K.GHAAKLGHDDKLG..J..FF.J..
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE..I..LG.AA.LGHDDK.GH.JK.FF.JK.
0 3 0  BBI.EE..I...G.AAKLGHDDKLGH.JK.FF.J..
0 3 0  BBI.EE.HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBIEE...I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBIEE..HI...GHAAKLG.DDKLG..JK.FF.J..
0 3 0  BBI.EE.HI...GHAAK.G.DDKLG..JKLFF.J..
0 3 0  BBIEE...I...GHAAK.GHDDKLG..JKLFF.J..
0 3 0  BBI.EE..I..LGH.AALGHDDK.G..JK.FF.JK.
0 3 0  BBI.EE..I...GAA..LGHDDKLGH.JK.FF.JK.
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBIEE...I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBI.EE..I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBI.EE..I..LG.AA.LGHDDK.GH.JK.FF.JK.
0 3 0  BBI.EE.HI...GHAA.LGDD.KLG..JK.FF.JK.
0 3 0  BBI.EE.HI...GH.AALG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE.HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE.HI...GHAA..G.DDKLG..JKLFF.JK.
0 3 0  BBIEE...I...G.AA.LGHDDKLGH.JK.FF.JK.
0 3 0  BBI.EE..I...G.AA..GHDDKLGH.JKLFF.JK.
0 3 0  BBIEE...I...GHAAKLGHDDKLG..JK.FF.J..
0 3 0  BBI.EE..I...GH..AAGHDDKLG..JKLFF.JK.
