0 0 3  ....BBCCDD.MAAKK.MJ....MJGG.EEJHHII.
0 1 6  ...BB.CCDD.MAAKK.MJ....MJGG.EEJHHII.
0 1 6  ....BBCCDD.MAA.KKMJ....MJGG.EEJHHII.
0 2 6  ...BBMCCDD.MAAKK.MJ.....JGG.EEJHHII.
0 2 6  ...BB.CCDD.MAAKK.MJ....MJGGEE.JHHII.
0 3 4  ...BB.CCDD..AAKK..J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA....J....MJGGEEMJHHIIM
0 5 0  ...BB.CCDD...AA...J....MJGGEEMJHHIIM
0 5 0  ...BB.CCDD....AA..J....MJGGEEMJHHIIM
0 5 0  ...BB.CCDD.....AA.J....MJGGEEMJHHIIM
0 5 0  ...BB.CCDD......AAJ....MJGGEEMJHHIIM
