0 3 0  .H.III.HFF..GHAAKLG...KLG.EE.L..JJ..
0 3 0  .H.III.HFF..GHAAK.G...KLG..EEL..JJ.L
0 3 0  .H.III.HFF..GHAA.LG....LG.EEKL..JJK.
0 3 0  .H.III.H.FFLGHAA.LG....LG.EEK...JJK.
0 3 0  .H.III.H.FF.GHAAKLG...KLG.EE.L..JJ..
0 3 0  .H.III.H..FFGHAAK.G...KLG.EE.L..JJ.L
0 3 0  .H.III.H.FFLGHAA.LG...KLG.EEK...JJ..
0 3 0  .H.III.H.FFLGHAAKLG...KLGEE.....JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG.EE.L..JJ.L
0 3 0  .H.III.HFF..GHAAK.G...KLGEE..L..JJ.L
0 3 0  .H.III.HFF..GHAA.LG...KLGEE.KL..JJ..
0 3 0  .H.III.HFF.LGH.AALG...KLGEE.K...JJ..
0 3 0  .H.III.HFFK.GHAAK.G....LG.EE.L..JJ.L
0 3 0  .H.III.H.FFLGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFF..GHAA.LG...KLG.EEKL..JJ..
0 3 0  .H.III.H.FF.GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
0 3 0  .H.III.HFFK.GHAAK.G....LG.EE.L..JJ.L
0 3 0  .H.III.H.FF.GHAAK.G...KLGEE..L..JJ.L
0 3 0  .H.III.HFF.LGH.AALG...KLG.EEK...JJ..
0 3 0  .H.III.H.FFLGHAAKLG...KLG.EE....JJ..
0 3 0  .H.III.H.FFLGHAA.LG...KLG.EEK...JJ..
0 3 0  .H.III.HFF..GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.H.FFLGHAAKLG...KLGEE.....JJ..
0 3 0  .H.III.HFF..GHAA.LG...KLG.EEKL..JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG.EE.L..JJ.L
0 3 0  .H.III.H..FFGHAAKLG...KLG.EE.L..JJ..
0 3 0  .H.III.H.FF.GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.H.FF.GHAAKLG...KLG.EE.L..JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LG.EE.L..JJ..
0 3 0  .H.III.H.FFLGHAAKLG...KLG.EE....JJ..
0 3 0  .H.III.HFF..GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LG.EE.L..JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG.EE.L..JJ.L
0 3 0  .H.III.H..FFGHAAK.G...KLG..EEL..JJ.L
0 3 0  .H.III.H.FFLGHAAKLG...KLGEE.....JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG..EEL..JJ.L
0 3 0  .H.III.HFFK.GHAAK.G....LG..EEL..JJ.L
0 3 0  .H.III.HFF.LGHAA.LG....LGEE.K...JJK.
0 3 0  .H.III.HFF..GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.HFF..GHAA..G....LGEE.KL..JJKL
0 3 0  .H.III.HFFK.GHAAKLG....LGEE..L..JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LGEE..L..JJ..
0 3 0  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFF..GHAA.LG....LG.EEKL..JJK.
0 4 0  .H.III.HFF..GHAA..G....LG.EEKL..JJKL
0 4 0  .H.III.H.FF.GHAAK.G...KLG.EE.L..JJ.L
0 4 0  .H.III.H.FF.GHAAKLG...KLG.EE.L..JJ..
0 4 0  .H.III.HFF.LGH.AALG....LGEE.K...JJK.
0 4 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
0 4 0  .H.III.H.FF.GHAA.LG....LGEE.KL..JJK.
0 4 0  .H.III.H.FF.GHAA..G....LGEE.KL..JJKL
0 4 0  .H.III.HFF..GH.AALG....LG.EEKL..JJK.
0 4 0  .H.III.HFF.LGH.AALG...KLG.EEK...JJ..
0 4 0  .H.III.H..FFGHAA.LG....LG.EEKL..JJK.
0 4 0  .H.III.HFFK.GHAAK.G....LG..EEL..JJ.L
0 4 0  .H.III.H.FFLGH.AALG....LG.EEK...JJK.
0 4 0  .H.III.H.FF.GHAA.LG....LG.EEKL..JJK.
0 4 0  .H.III.H.FFLGH.AALG...KLGEE.K...JJ..
0 4 0  .H.III.H.FF.GHAAKLG...KLGEE..L..JJ..
0 4 0  .H.III.HFF.LGH.AALG...KLG.EEK...JJ..
0 4 0  .H.III.H.FFLGH.AALG...KLGEE.K...JJ..
0 4 0  .H.III.HFF..GHAA..G....LG.EEKL..JJKL
0 4 0  .H.III.H..FFGHAAKLG...KLG.EE.L..JJ..
0 4 0  .H.III.H..FFGHAAK.G...KLG..EEL..JJ.L
0 4 0  .H.III.HFF..GH.AALG...KLGEE.KL..JJ..
0 4 0  .H.III.H..FFGHAA.LG...KLGEE.KL..JJ..
0 4 0  .H.III.H..FFGHAAKLG...KLGEE..L..JJ..
0 4 0  .H.III.H.FF.GHAA.LG...KLGEE.KL..JJ..
0 4 0  .H.III.H.FFLGH.AALG...KLG.EEK...JJ..
0 4 0  .H.III.HFF..GHAA.LG...KLG.EEKL..JJ..
0 4 0  .H.III.H.FF.GHAAKLG...KLG..EEL..JJ..
0 4 0  .H.III.H..FFGHAAK.G...KLG..EEL..JJ.L
0 4 0  .H.III.H..FFGHAA..G...KLG.EEKL..JJ.L
0 4 0  .H.III.HFF..GHAA..G...KLG.EEKL..JJ.L
0 4 0  .H.III.H..FFGHAAKLG...KLG.EE.L..JJ..
0 4 0  .H.III.H.FF.GHAAK.G...KLG.EE.L..JJ.L
0 4 0  .H.III.HFF.LGH.AALG...KLG.EEK...JJ..
0 4 0  .H.III.HFF..GH.AA.G....LG.EEKL..JJKL
0 4 0  .H.III.H.FF.GHAA..G....LG.EEKL..JJKL
0 4 0  .H.III.HFFK.GHAAKLG....LG..EEL..JJ..
0 4 0  .H.III.H.FF.GHAA.LG....LG.EEKL..JJK.
0 4 0  .H.III.H.FF.GHAA.LG...KLG.EEKL..JJ..
0 4 0  .H.III.H.FFLGHAA.LG...KLG.EEK...JJ..
0 4 0  .H.III.H..FFGHAAKLG...KLG.EE.L..JJ..
0 4 0  .H.III.H.FF.GHAA.LG....LG.EEKL..JJK.
0 4 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
0 4 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
0 4 0  .H.III.H.FFLGH.AALG....LG.EEK...JJK.
0 4 0  .H.III.HFF..GH.AALG....LG.EEKL..JJK.
0 4 0  .H.III.HFF..GH..AAG....LGEE.KL..JJKL
