2 0 2  .LL...NDD..MNAAC.MFF.C..BB.GG..HH.JJ
2 1 1  .LLC..NDDC.MNAA..MFF....BB.GG..HH.JJ
2 1 1  .LL..MNDD..MNAAC..FF.C..BB.GG..HH.JJ
2 2 0  .LLC..NDDC..NAA...FF...MBB.GGM.HH.JJ
2 1 1  .LL...NDD...NAAC..FF.C.MBB.GGM.HH.JJ
2 2 0  .LLC.MNDDC.MNAA...FF....BB.GG..HH.JJ
2 2 0  .LLC.MNDDC.MNAA...FF....BB.GG..HH.JJ
3 2 1  .LLC..NDDC.MNAA..MFF....BB.GG..HHJJ.
3 3 0  .LLC..NDDC..N...AAFF...MBB.GGM.HH.JJ
