0 0 3  .H.III.HFF.LGHAAKLG...KLG...EE..JJ..
0 1 2  .H.III.HFFKLGHAAKLG....LG...EE..JJ..
0 1 2  .H.III.HFF.LGHAAKLG...KLGEE.....JJ..
0 2 1  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
0 4 0  .H.III.H.FF.GHAA..G...KLGEE.KL..JJ.L
0 4 0  .H.III.HFF..GH.AA.G...KLGEE.KL..JJ.L
0 4 0  .H.III.HFF..GHAA..G....LGEE.KL..JJKL
0 5 0  .H.III.H..FFGHAA..G...KLGEE.KL..JJ.L
0 5 0  .H.III.H.FF.GH.AA.G...KLGEE.KL..JJ.L
0 4 0  .H.III.HFF..GH..AAG...KLGEE.KL..JJ.L
