1 0 1  JBB.CCJDD..MJAA..M...L..F..LNNFHHKK.
2 1 1  JBBLCCJDDL.MJAA..M......F...NNFHHKK.
2 1 1  JBB.CCJDD..MJ.AA.M...L..F..LNNFHHKK.
2 1 1  JBB.CCJDD...JAA..M...L.MF..LNNFHHKK.
2 1 1  J.BBCCJDD..MJAA..M...L..F..LNNFHHKK.
2 1 1  JBB.CCJ..DDMJAA..M...L..F..LNNFHHKK.
2 1 1  JBB.CCJ.DD.MJAA..M...L..F..LNNFHHKK.
2 1 1  JBB.CCJDD..MJ..AAM...L..F..LNNFHHKK.
3 1 2  JBB.CCJDDL.MJAAL.M......F...NNFHHKK.
3 2 1  JBBLCCJDDL.MJAA..M......F.NN..FHHKK.
3 2 1  JBBLCCJDDL.MJAA..M......F..NN.FHHKK.
3 2 1  J.BBCCJ..DDMJAA..M...L..F..LNNFHHKK.
3 2 1  JBB.CCJ.DD..JAA..M...L.MF..LNNFHHKK.
3 2 1  JBB.CCJDD...J..AAM...L.MF..LNNFHHKK.
3 3 0  JBBLCCJDDL..JAA.........F.NN.MFHHKKM
3 3 0  JBBLCCJDDL..JAA.........F..NNMFHHKKM
3 2 1  JBBLCCJDDL.MJAA..M......FNN...FHHKK.
3 2 1  J.BBCCJ.DD.MJAA..M...L..F..LNNFHHKK.
3 3 0  JBBLCCJDDL..JAA........MF..NNMFHHKK.
3 3 0  JBBLCCJDDL..JAA.........FNN..MFHHKKM
3 3 0  JBBLCCJDDL..JAA........MF.NN.MFHHKK.
3 2 1  JBB.CCJ.DD.MJ..AAM...L..F..LNNFHHKK.
3 2 1  JBB.CCJ..DDMJ.AA.M...L..F..LNNFHHKK.
3 2 1  J.BBCCJ..DDMJAA..M...L..F..LNNFHHKK.
3 2 1  J.BBCCJDD..MJ..AAM...L..F..LNNFHHKK.
3 2 1  J.BBCCJDD..MJ.AA.M...L..F..LNNFHHKK.
3 2 1  J.BBCCJDD..MJ.AA.M...L..F..LNNFHHKK.
3 2 1  JBB.CCJ.DD.MJ.AA.M...L..F..LNNFHHKK.
3 2 1  JBB.CCJDD...J..AAM...L.MF..LNNFHHKK.
3 2 1  JBB.CCJ.DD.MJAA..M...L..F..LNNFHHKK.
3 2 1  JBBLCCJDDL..JAA..M.....MF...NNFHHKK.
3 2 1  JBB.CCJDD..MJ..AAM...L..F..LNNFHHKK.
3 2 1  JBB.CCJ..DD.JAA..M...L.MF..LNNFHHKK.
3 2 1  JBB.CCJ.DD.MJ..AAM...L..F..LNNFHHKK.
3 2 1  J.BBCCJDD...JAA..M...L.MF..LNNFHHKK.
3 2 1  JBB.CCJ.DD..JAA..M...L.MF..LNNFHHKK.
3 2 1  JBB.CCJDD...J.AA.M...L.MF..LNNFHHKK.
3 2 1  J.BBCCJ.DD.MJAA..M...L..F..LNNFHHKK.
3 2 1  JBB.CCJ..DD.JAA..M...L.MF..LNNFHHKK.
3 2 1  JBBLCCJDDL..JAA..M.....MF...NNFHHKK.
3 2 1  JBB.CCJ..DDMJ..AAM...L..F..LNNFHHKK.
3 2 1  J.BBCCJDD...JAA..M...L.MF..LNNFHHKK.
3 2 1  JBB.CCJ..DDMJ.AA.M...L..F..LNNFHHKK.
3 3 0  JBBLCCJDDL..JAA........MFNN..MFHHKK.
3 2 1  JBB.CCJ.DD.MJ.AA.M...L..F..LNNFHHKK.
3 2 1  JBB.CCJ..DDMJ..AAM...L..F..LNNFHHKK.
3 2 1  JBBLCCJDDL.MJ..AAM......F...NNFHHKK.
3 1 2  JBB.CCJDD..MJAAL.M...L..F...NNFHHKK.
3 2 1  J.BBCCJDD..MJ..AAM...L..F..LNNFHHKK.
3 2 1  JBB.CCJDD...J.AA.M...L.MF..LNNFHHKK.
3 2 1  JBBLCCJDDL.MJ.AA.M......F...NNFHHKK.
4 2 2  JBB.CCJDD..MJAAL.M...L..FNN...FHHKK.
4 2 2  JBB.CCJDD...JAAL.M...L.MF...NNFHHKK.
4 4 0  JBBLCCJDDL..J...AA......FNN..MFHHKKM
