0 3 0  .LLC..NDDC..NAA...FF....BB.GGM.HHJJM
0 3 0  .LL...N...DDNAAC..FF.C.MBB.GGM.HHJJ.
0 3 0  NLL..MN..DDM.AAC..FF.C..BB.GG..HH.JJ
0 3 0  .LL..MNDDC.MNAAC..FF....BB.GG..HH.JJ
0 3 0  NLL..MN.DD.M.AAC..FF.C..BB.GG..HH.JJ
0 3 0  NLL..MNDDC.M.AAC..FF....BB.GG..HH.JJ
0 3 0  NLL...NDD....AAC..FF.C..BB.GGM.HHJJM
0 3 0  .LLC..NDDC..NAA...FF...MBB.GGM.HH.JJ
0 3 0  NLLC.MNDDC.M.AA...FF....BB.GG..HH.JJ
0 3 0  NLLC..NDDC...AA...FF...MBB.GGM.HH.JJ
0 3 0  NLL...NDDC...AAC..FF...MBB.GGM.HH.JJ
0 3 0  NLLC..NDDC...AA..MFF...MBB.GG..HH.JJ
0 3 0  NLLC..NDDC.M...AAMFF....BB.GG..HH.JJ
0 3 0  NLL...NDD....AAC..FF.C..BB.GGM.HHJJM
0 3 0  .LL...N..DD.NAAC..FF.C.MBB.GGM.HHJJ.
0 3 0  .LL...N...DDNAAC.MFF.C.MBB.GG..HHJJ.
0 3 0  NLLC..NDDC.M..AA.MFF....BB.GG..HH.JJ
0 3 0  NLLC..NDDC.MAA...MFF....BB.GG..HH.JJ
0 3 0  .LL...N..DD.NAAC.MFF.C.MBB.GG..HHJJ.
0 3 0  NLLC.MNDDC.M.AA...FF....BB.GG..HH.JJ
0 3 0  .LLC.MNDDC.MN...AAFF....BB.GG..HH.JJ
