3 0 3  I...CCIJDD.FIJAALFEEK.LH..K..H.GGGBB
3 1 2  I...CCIJDD.FIJAA.FEEK.LH..K.LH.GGGBB
4 2 2  IJ..CCIJDD.FI.AA.FEEK.LH..K.LH.GGGBB
4 2 2  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
4 2 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
4 2 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
4 2 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
5 1 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
5 1 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
5 3 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
5 3 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 3 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
5 1 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
5 1 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
4 2 2  I.CCL.IJDDLFIJAA.FEEK..H..K..H.GGGBB
5 3 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
5 3 2  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
5 3 2  I.CCL.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
5 3 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
5 3 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
5 3 2  IJ..CCIJDD.FIAA..FEEK.LH..K.LH.GGGBB
5 3 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
5 3 2  IJCCL.IJDDLFI.AA.FEEK..H..K..H.GGGBB
5 3 2  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
5 3 2  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
5 3 2  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
5 1 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
4 2 2  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
5 3 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
