0 0 3  J..CCCJDD..MJAAL.MFF.L.NBB.GGN.HH...
0 15 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 15 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 15 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 14 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 14 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 16 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 16 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 16 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 16 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 17 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 17 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 19 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 18 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 19 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 19 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 20 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 20 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 22 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 21 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 23 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 22 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 22 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 24 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 23 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 23 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 20 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 20 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 21 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 16 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 17 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 17 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 16 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 15 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 13 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 14 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 14 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 12 2  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 2  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 12 2  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 2  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 13 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 12 2  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 13 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 13 2  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 2  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 10 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 10 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 10 2  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
0 10 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 10 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 10 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 10 2  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
0 10 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 11 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 11 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 10 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 11 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 10 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 2  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 10 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 8 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 8 2  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 8 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 9 2  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 10 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 10 2  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 9 2  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 8 2  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 7 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 7 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 7 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 7 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 8 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 9 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
0 7 2  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 8 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 8 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 8 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 6 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 6 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 6 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 6 2  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 6 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 6 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 6 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 5 2  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 6 2  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 6 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 6 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 6 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 5 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 5 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 6 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 6 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 6 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 6 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 6 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 5 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 6 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 6 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 5 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
0 5 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 6 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 4 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 8 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 8 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 6 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 9 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 7 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 7 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 8 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 8 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 8 2  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 6 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 8 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 6 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 2 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 7 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 7 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
0 7 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 3 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 8 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 5 2  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 5 2  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 5 2  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 1 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 1 2  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
0 6 2  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
0 5 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 5 2  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
