4 3 1  JBB.CCJDDL..JAAL........F.NN.MFHHKKM
4 3 1  JBB.CCJ..DD.J.AA.M...L.MF..LNNFHHKK.
4 3 1  JBB.CCJ.DD..J..AAM...L.MF..LNNFHHKK.
4 3 1  JBBLCCJDDL.MJ.AA.M......FNN...FHHKK.
4 3 1  JBB.CCJ..DD.J..AAM...L.MF..LNNFHHKK.
4 3 1  J.BBCCJ.DD.MJ..AAM...L..F..LNNFHHKK.
4 3 1  J.BBCCJ..DDMJ..AAM...L..F..LNNFHHKK.
4 3 1  JBB.CCJDD...J.AA.M...L.MF..LNNFHHKK.
4 3 1  JBB.CCJDDL..JAAL.......MF.NN.MFHHKK.
4 4 0  JBBLCCJDDL..JAA........MF.NN.MFHHKK.
4 3 1  J.BBCCJ..DDMJ..AAM...L..F..LNNFHHKK.
4 3 1  JBB.CCJ...DDJAA..M...L.MF..LNNFHHKK.
4 2 2  JBB.CCJDD..MJAAL.M...L..F.NN..FHHKK.
4 3 1  JBBLCCJDDL..JAA..M.....MF.NN..FHHKK.
4 3 1  JBBLCCJDDL.MJ..AAM......F..NN.FHHKK.
4 4 0  JBBLCCJDDL..J.AA.......MFNN..MFHHKK.
4 3 1  JBBLCCJDDL.MJ.AA.M......F.NN..FHHKK.
4 3 1  JBB.CCJ.DD..J.AA.M...L.MF..LNNFHHKK.
4 3 1  JBB.CCJ.DD..J..AAM...L.MF..LNNFHHKK.
4 3 1  JBB.CCJ..DD.J.AA.M...L.MF..LNNFHHKK.
4 4 0  JBBLCCJDDL..J...AA.....MF.NN.MFHHKK.
