0 17 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 17 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 18 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 16 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 17 4  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 17 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 16 4  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 15 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 14 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 14 4  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
0 12 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 13 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 12 4  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 13 4  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 13 4  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 13 4  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 4  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 4  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 4  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
