0 0 1  JBB.CCJDD..MJAA..M...L..F..LNNFHHKK.
0 1 2  JBBLCCJDDL.MJAA..M......F...NNFHHKK.
0 1 2  JBB.CCJDD..MJ.AA.M...L..F..LNNFHHKK.
0 1 2  JBB.CCJDD...JAA..M...L.MF..LNNFHHKK.
0 2 2  JBBLCCJDDL.MJAA..M......FNN...FHHKK.
0 3 0  JBBLCCJDDL..JAA........MFNN..MFHHKK.
0 3 0  JBBLCCJDDL..JAA.........FNN..MFHHKKM
0 4 0  JBBLCCJDDL..J.AA.......MFNN..MFHHKK.
0 4 0  JBBLCCJDDL..J..AA.......FNN..MFHHKKM
0 4 0  JBBLCCJDDL..J...AA......FNN..MFHHKKM
