0 3 0  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 3 0  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 3 0  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 3 0  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 3 0  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  IJ..CCIJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 3 0  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 3 0  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 3 0  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 3 0  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 3 0  IJ..CCIJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 3 0  IJ.CC.IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 3 0  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 3 0  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  IJ..CCIJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 3 0  IJCCL.IJDDLFI.AA.FEEK..H..K..H.GGGBB
0 3 0  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 3 0  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 4 0  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
0 4 0  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 4 0  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 4 0  I.CC..IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 4 0  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 4 0  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 4 0  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  I.CC..IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 4 0  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 4 0  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
0 4 0  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  I.CCL.IJDDLFIJKAAFEEK..H.....H.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJCCL.IJDDLFI.AA.FEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 0  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 4 0  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 0  IJCCL.IJDDLFI.AA.FEEK..H..K..H.GGGBB
0 4 0  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 0  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
