3 0 3  ..I.K.BBI.K.GHAAKLGHDDKLG..JEEFF.J..
2 1 1  ..I.KLBBI.KLGHAAK.GHDDK.G..JEEFF.J..
3 1 2  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEEFF.J..
3 1 2  ..I.K.BBI.K.GHAAKLGHDDKLG..JEE.FFJ..
3 2 1  ..I.KLBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
3 2 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
3 1 2  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
3 2 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
3 2 1  ..I.KLBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
4 2 2  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
4 2 2  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
4 3 1  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEEFF.J..
4 3 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
4 3 1  ..I.KLBBI.KL.HAAK.GHDDK.G..JEEGFFJ..
4 2 2  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
4 3 1  ..I.KLBBI.KL.HAAK.GHDDK.G..JEEGFFJ..
4 3 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
4 2 2  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
4 3 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
4 3 1  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
4 2 2  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
4 2 2  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
4 2 2  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEEFF.J..
4 3 1  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEEFF.J..
4 2 2  ..I.K.BBI.K..HAAKLGHDDKLG..JEEGFFJ..
4 2 2  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
5 3 2  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
5 4 1  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
5 3 2  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEEFF.J..
5 4 1  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
5 3 2  ..I.K.BBI.KL.HAAKLGHDDK.G..JEEGFFJ..
