2 0 2  BB.DDHE..G.HEAAG.I.CC..I..F..I..FJJ.
2 1 1  BB.DDHE....HEAA..I.CCG.I..FG.I..FJJ.
2 1 1  BB.DDHE..G.HEAAG...CC..I..F..I..FJJI
2 2 0  BB.DDHE....HEAA....CCG.I..FG.I..FJJI
2 2 0  BB.DDHE....HEAA....CCG.I..FG.I..FJJI
3 1 2  BB.DDHE....HEAAG.I.CCG.I..F..I..FJJ.
3 2 1  BB.DDH...G.HEAAG..ECC..I..F..I..FJJI
3 2 1  BB.DDHE....HEAAG...CCG.I..F..I..FJJI
3 3 0  BB.DDHE....HE...AA.CCG.I..FG.I..FJJI
