0 10 2  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 10 2  I.CCL.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 5 2  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 10 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 10 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 3 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 3 2  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 5 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 10 2  I..CC.IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 9 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 9 2  I.CCL.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 3 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 5 2  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 9 2  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
0 9 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 9 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 9 2  I.CCL.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 5 4  IJ.CC.IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 5 4  IJ.CC.IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 9 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 10 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 10 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 6 4  IJ.CC.IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 6 4  IJ.CC.IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 10 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 7 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 11 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 11 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 11 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
