0 3 0  BBIEE.GHI.K.GHAAKLG.DDKL...J..FF.J..
0 3 0  BBI.EEG.I..LGHAAKLGHDDK....JK.FF.J..
0 3 0  BBIEE.GHI.K.GHAAKLG.DDKL...J..FF.J..
0 3 0  BBI.EEGHI...GHAA.LG.DDKL...JK.FF.JK.
0 3 0  BBIEE.G.I...GHAA.LGHDDKL...JK.FF.JK.
0 3 0  BBI.EEG.I.KLG.AAKLGHDDK..H.J..FF.J..
0 3 0  BBI.EEGHI.KLGHAAKLG.DDK....J..FF.J..
0 3 0  BBI.EE.HI...GHAA.LGDD.KLG..JK.FF.JK.
0 3 0  BBIEE.G.I.KLGHAAKLGHDDK....J..FF.J..
0 3 0  BBI.EEG.I.K.G.AAK.GHDDKL.H.J.LFF.J..
0 3 0  BBIEE...I...G.AA.LGHDDKLGH.JK.FF.JK.
0 3 0  BBI.EE.HI...GH.AALG.DDKLG..JK.FF.JK.
0 3 0  BBI.EEG.I...G.AAKLGHDDKL.H.JK.FF.J..
0 3 0  BBI.EEG.I.K.GAA.KLGHDDKL.H.J..FF.J..
0 3 0  BBI.EE.HI...GHAAKLG.DDKLG..JK.FF.J..
0 3 0  BBI.EEG.I.KLG.AAKLGHDDK..H.J..FF.J..
0 3 0  BBIEE.G.I.K.G.AAKLGHDDKL.H.J..FF.J..
0 3 0  BBIEE...I...GH.AALGHDDKLG..JK.FF.JK.
0 3 0  BBI.EE..I...GH.AA.GHDDKLG..JKLFF.JK.
0 3 0  BBI.EE..I..LG.AA.LGHDDK.GH.JK.FF.JK.
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBI.EE.HI...GHAAK.G.DDKLG..JKLFF.J..
0 3 0  BBI.EE.HI.K.GHAAK.GDD.KLG..J.LFF.J..
0 3 0  BBI.EEGHI...GHAA.LG.DDKL...JK.FF.JK.
0 3 0  BBI.EEGHI.K.GHAAK.G.DDKL...J.LFF.J..
0 3 0  BBIEE..HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 3 0  BBIEE...I...GHAAKLGHDDKLG..JK.FF.J..
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EEG.I...G.AAKLGHDDKL.H.JK.FF.J..
0 3 0  BBI.EEG.I..LGHAAKLGHDDK....JK.FF.J..
0 3 0  BBIEE...I...GHAAK.GHDDKLG..JKLFF.J..
0 3 0  BBI.EEGHI...GHAAKLG.DDKL...JK.FF.J..
0 3 0  BBIEE.G.I...GHAAKLGHDDKL...JK.FF.J..
0 3 0  BBIEE...I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBI.EE..I...G.AA..GHDDKLGH.JKLFF.JK.
0 3 0  BBIEE...I.K.G.AAK.GHDDKLGH.J.LFF.J..
0 3 0  BBI.EEG.I...GHAAK.GHDDKL...JKLFF.J..
0 3 0  BBI.EEG.I.K.G.AAK.GHDDKL.H.J.LFF.J..
0 3 0  BBIEE..HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 3 0  BBI.EEGHI.K.GHAAK.G.DDKL...J.LFF.J..
0 3 0  BBIEE.G.I.K.GHAAK.GHDDKL...J.LFF.J..
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBIEE.G.I.K.GHAAK.GHDDKL...J.LFF.J..
0 3 0  BBIEE...I...GHAAK.GHDDKLG..JKLFF.J..
0 3 0  BBIEE...I.K.G.AAK.GHDDKLGH.J.LFF.J..
0 3 0  BBI.EE.HI...GHAA.LGDD.KLG..JK.FF.JK.
0 3 0  BBIEE..HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 3 0  BBIEE.G.I.K.GHAAK.GHDDKL...J.LFF.J..
0 3 0  BBIEE.G.I...GHAA.LGHDDKL...JK.FF.JK.
0 3 0  BBI.EE..I..LG.AA.LGHDDK.GH.JK.FF.JK.
0 3 0  BBI.EE.HI...GH.AALG.DDKLG..JK.FF.JK.
0 3 0  BBI.EEG.I...GHAA..GHDDKL...JKLFF.JK.
0 3 0  BBIEE...I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBIEE...I..LGHAAKLGHDDK.G..JK.FF.J..
0 3 0  BBIEE...I.KLG.AAKLGHDDK.GH.J..FF.J..
0 3 0  BBI.EE.HI...GHAAKLG.DDKLG..JK.FF.J..
0 3 0  BBIEE..HI.KLGHAAKLG.DDK.G..J..FF.J..
0 3 0  BBIEE.G.I.KLGHAAKLGHDDK....J..FF.J..
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBIEE...I.K.G.AAK.GHDDKLGH.J.LFF.J..
0 3 0  BBIEE...I...G.AAKLGHDDKLGH.JK.FF.J..
0 3 0  BBI.EEGHI...GHAA.LG.DDKL...JK.FF.JK.
0 3 0  BBIEE...I.K.GAA.KLGHDDKLGH.J..FF.J..
0 3 0  BBIEE...I.KLG.AAKLGHDDK.GH.J..FF.J..
0 3 0  BBIEE..HI...GHAA.LG.DDKLG..JK.FF.JK.
0 3 0  BBI.EE.HI...GHAA..G.DDKLG..JKLFF.JK.
0 3 0  BBI.EE.HI...GHAA..G.DDKLG..JKLFF.JK.
0 3 0  BBIEE.G.I.K.G.AAKLGHDDKL.H.J..FF.J..
0 3 0  BBI.EEG.I.K.G.AAK.GHDDKL.H.J.LFF.J..
0 3 0  BBI.EE..I..LGH.AALGHDDK.G..JK.FF.JK.
0 3 0  BBI.EEG.I...G.AAKLGHDDKL.H.JK.FF.J..
0 3 0  BBI.EEG.I.K.GAA.KLGHDDKL.H.J..FF.J..
0 3 0  BBI.EE..I..LGHAAKLGHDDK.G..JK.FF.J..
0 3 0  BBIEE...I...GHAA..GHDDKLG..JKLFF.JK.
0 3 0  BBI.EEG.I.KLG.AAKLGHDDK..H.J..FF.J..
0 3 0  BBIEE.G.I.K.G.AAKLGHDDKL.H.J..FF.J..
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBI.EEG.I...GHAAK.GHDDKL...JKLFF.J..
0 3 0  BBI.EEG.I.K.G.AAK.GHDDKL.H.J.LFF.J..
0 3 0  BBI.EEG.I..LGHAA.LGHDDK....JK.FF.JK.
0 3 0  BBI.EE..I..LG.AAKLGHDDK.GH.JK.FF.J..
0 3 0  BBI.EE..I..LG.AA.LGHDDK.GH.JK.FF.JK.
0 3 0  BBI.EEG.I..LGHAA.LGHDDK....JK.FF.JK.
0 3 0  BBI.EEGHI.K.GHAAK.G.DDKL...J.LFF.J..
0 3 0  BBIEE.G.I.K.GHAAK.GHDDKL...J.LFF.J..
0 3 0  BBIEE...I..LGHAA.LGHDDK.G..JK.FF.JK.
0 3 0  BBI.EE..I..LG.AAKLGHDDK.GH.JK.FF.J..
0 3 0  BBI.EE..I.KLGAA.KLGHDDK.GH.J..FF.J..
0 3 0  BBIEE..HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 3 0  BBIEE...I...GHAA..GHDDKLG..JKLFF.JK.
0 3 0  BBI.EEG.I.KLG.AAKLGHDDK..H.J..FF.J..
0 3 0  BBIEE...I.KLG.AAKLGHDDK.GH.J..FF.J..
0 3 0  BBIEE..HI...GHAAKLG.DDKLG..JK.FF.J..
0 3 0  BBI.EE..I.K.GAA.K.GHDDKLGH.J.LFF.J..
0 3 0  BBI.EE..I...GAA.KLGHDDKLGH.JK.FF.J..
0 3 0  BBIEE...I.K.G.AAKLGHDDKLGH.J..FF.J..
0 3 0  BBI.EE.HI..LGHAA.LG.DDK.G..JK.FF.JK.
0 3 0  BBI.EE..I...G.AAK.GHDDKLGH.JKLFF.J..
0 3 0  BBI.EE..I.KLGAA.KLGHDDK.GH.J..FF.J..
0 3 0  BBI.EEG.I.K.GAA.KLGHDDKL.H.J..FF.J..
0 3 0  BBIEE..HI.K.GHAAKLGDD.KLG..J..FF.J..
0 3 0  BBIEE...I.K.GAA.KLGHDDKLGH.J..FF.J..
0 3 0  BBI.EEG.I...G.AA.LGHDDKL.H.JK.FF.JK.
0 3 0  BBIEE..HI.KLGHAAKLG.DDK.G..J..FF.J..
0 3 0  BBIEE...I...GHAAK.GHDDKLG..JKLFF.J..
0 3 0  BBI.EEG.I...GH.AALGHDDKL...JK.FF.JK.
0 3 0  BBI.EEG.I...GHAAKLGHDDKL...JK.FF.J..
