3 0 3  ..I.K.BBI.K.GHAAKLGHDDKLG..JEEFF.J..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
10 6 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
10 6 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
10 6 4  ....KLBBI.KLAAI.K.GHDDK.GH.JEEGFFJ..
10 6 4  ....KLBBI.KLAAI.K.GHDDK.GH.JEEGFFJ..
10 6 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
10 6 4  ....KLBBI.KLAAI.K.GHDDK.GH.JEEGFFJ..
10 6 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
10 6 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
11 5 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
11 7 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
11 5 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
11 5 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
12 6 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
13 7 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
13 7 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
13 7 6  ....K.BBI.K.AAI.KLGHDDKLGH.JEEGFFJ..
13 7 6  ....K.BBI.KLAAI.KLGHDDK.GH.JEEGFFJ..
