3 0 3  BBBD..CC.D.MJAAL.MJ..LEEJ.GG..JHHHII
3 1 2  BBBD.MCC.D.MJAAL..J..LEEJ.GG..JHHHII
4 2 2  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
4 2 2  BBBD.MCC.D.MJAAL..J..LEEJ...GGJHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
4 2 2  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
4 4 0  BBBD.MCC.D.MJ.AA..J..LEEJ..LGGJHHHII
4 4 0  BBBD.MCC.D.MJ..AA.J..LEEJ..LGGJHHHII
4 4 0  BBBD.MCC.D.MJ...AAJ..LEEJ..LGGJHHHII
