0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...CDD.GMKKAAGMJ....MJEE...JHHII.
0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...CDD..MKKAAGMJ...GMJEE...JHHII.
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 3 0  CBB..MC.DD.MKK.AAMJ...G.JEE.G.JHH.II
0 3 0  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...CDD.GMKKAAGMJ....MJEE...JHHII.
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHHII.
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...CDD.GMKKAAGMJ....MJEE...JHHII.
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 3 0  CBB...C.DD.MKK.AAMJ...GMJEE.G.JHHII.
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 3 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHHII.
0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHHII.
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHH.II
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB...C..DD.KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHH.II
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB...CDD..MKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB...C.DD..KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
0 3 0  CBB...C.DD.MKK.AAMJ...GMJEE.G.JHHII.
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DDMKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB...C.DD..KK.AAMJ...GMJEE.GMJHH.II
0 3 0  CBB...C.DD.M.KKAAMJ...GMJEE.G.JHH.II
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHHII.
0 3 0  CBB...C..DDMKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB...CDD..MKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 3 0  CBB..MC.DD.MKK.AAMJ...G.JEE.G.JHH.II
0 3 0  CBB...C.DD..KK.AAMJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
0 3 0  CBB...C...DDKKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHH.II
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHH.II
0 3 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...CDD..MKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
0 3 0  CBB...C..DDMKK.AAMJ...GMJEE.G.JHH.II
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
0 3 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...C...DDKKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHH.II
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHHII.
0 3 0  CBB...C...DDKKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...C..DD.KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...CDD.GMKKAAGMJ....MJEE...JHHII.
0 3 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHHII.
0 3 0  CBB...C.DD..KK.AAMJ...GMJEE.GMJHH.II
0 3 0  CBB...C...DDKKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHHII.
0 3 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
0 3 0  CBB...C...DDKKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...CDD.G.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB..MCDD..MKKAA.MJ...G.JEE.G.JHHII.
0 4 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C..DD.KK.AAMJ...GMJEE.GMJHH.II
0 4 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHHII.
0 4 0  CBB..MCDD.GMKKAAGMJ.....JEE...JHHII.
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...C..DD.KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C..DDMKK.AAMJ...GMJEE.G.JHHII.
0 4 0  CBB...CDD...KKAAG.J...GMJEE..MJHHIIM
0 4 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHHII.
0 4 0  CBB...CDD...KKAA.MJ...GMJEE.GMJHHII.
0 4 0  CBB...C.DDG.KKAAG.J....MJEE..MJHHIIM
0 4 0  CBB...C...DDKKAAGMJ...GMJEE..MJHHII.
0 4 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHHII.
0 4 0  CBB...CDD...KKAA..J...GMJEE.GMJHHIIM
